store,year_end_sales
4496,66141.26999999989
4509,535164.2900000018
4547,148052.35000000003
4557,82270.74999999996
4558,129244.91999999946
4559,183540.92000000042
4568,212435.84999999986
4582,291164.0099999997
4588,382711.4400000011
4589,77784.08999999982
4592,66140.88999999998
4594,55206.069999999825
4596,60806.68999999981
4599,73964.2299999997
4601,78715.78999999988
4603,76641.18999999989
4604,312573.16999999946
4609,73072.49999999985
4617,358020.440000002
4622,97315.39999999966
4626,72505.2799999999
4629,82941.29999999992
4630,196050.73
4633,82684.03999999998
4634,52314.86
4636,65601.99000000002
4637,91498.1800000001
4638,427388.4600000027
4640,172035.01000000013
4641,86121.0099999998
4642,107430.97999999994
4648,426255.8000000007
4652,152681.8900000001
4661,47098.00999999975
4673,197421.60999999943
4678,418509.6100000007
4696,61951.259999999726
4697,429128.550000001
4698,170089.20000000004
4725,108992.1500000001
4743,235945.77000000002
4752,200623.03000000044
4757,112088.15000000034
4794,255058.66999999998
4805,132633.4200000002
4810,103379.78999999978
4818,140954.40999999992
4819,255888.2300000014
4829,11877163.590000147
4847,80560.87000000007
4856,81045.02000000016
4866,117283.15999999995
4876,152939.32999999996
4877,413476.84000000136
4879,350325.0600000005
4887,56940.16999999998
4888,97021.17999999979
4891,211002.53999999957
4897,138761.4099999999
4901,255480.49999999974
4902,130041.67999999985
4904,87232.5100000001
4907,91739.53999999996
4910,185745.99999999977
4921,80350.3200000001
4935,165979.1299999998
4941,90541.41999999965
4945,89794.2400000001
4947,316119.2400000015
4959,241329.7100000002
4962,186577.92000000016
4967,110183.61000000016
4969,710846.7200000002
4970,70429.82
4971,495656.4399999993
4972,54866.61999999988
4973,210400.91999999993
4984,177043.9500000001
4988,1509485.629999989
4993,103653.47
4997,235725.66000000027
5001,263941.150000002
5003,263773.64000000013
5004,122064.31999999999
5005,81511.2200000001
5007,75338.94000000006
5010,80134.31000000011
5017,90832.66000000009
5029,316350.420000001
5034,231975.91000000076
5042,109148.3000000001
5050,267931.3300000007
5051,94006.89000000001
5054,454111.39
5057,93391.1799999997
